split,utt_id,speaker_id,gender,age,audio_path,text,accuracy,completeness,fluency,prosodic,total
train,000050024,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050024.WAV,BILLY LOVES AMERICA,7,10.0,6,6,6
train,000050028,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050028.WAV,TWO TWO EIGHT SEVEN,8,10.0,8,8,8
train,000050038,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050038.WAV,FOUR FIVE FOUR SEVEN,7,10.0,8,7,7
train,000050040,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050040.WAV,FIVE THREE NINE ZERO,8,10.0,8,7,8
train,000050047,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050047.WAV,SIX FIVE THREE,7,10.0,8,7,7
train,000050049,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050049.WAV,TWO FIVE EIGHT,7,10.0,9,8,7
train,000050055,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050055.WAV,WE LESS MEAT,9,10.0,8,8,8
train,000050078,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050078.WAV,DOSE MIKE LIKE THE HAMBURGER,7,10.0,7,6,7
train,000050079,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050079.WAV,ANNIE WANT HAVE SOME PRETTIES,7,10.0,6,6,6
train,000050083,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050083.WAV,KATE'S GOT SOME GREY,6,7.5,7,7,5
train,000050095,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050095.WAV,LOOK AT JOHN'S SWEATER,7,10.0,6,7,7
train,000050099,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050099.WAV,TIM HAS A BEAUTIFUL TELL,7,10.0,8,6,7
train,000050100,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050100.WAV,JIM LIKES YOUR BLUE SHORE,8,10.0,8,7,7
train,000050114,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050114.WAV,ANNIE WENT WALKING THEM PARK,8,10.0,8,6,7
train,000050118,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050118.WAV,LAYLA CAN SEE THE HOMETOWN,6,10.0,7,6,5
train,000050122,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050122.WAV,SO TINA WENT ON TO WASHROOM,6,10.0,6,5,5
train,000050174,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050174.WAV,ALL WITH HIM,8,10.0,7,6,7
train,000050175,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050175.WAV,GOOD JOB,9,10.0,9,7,8
train,000060015,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060015.WAV,JAYME IS GOING TO SEE HEN,9,10.0,9,9,9
train,000060020,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060020.WAV,DORA IS COME FROM JAPAN,9,10.0,9,8,8
train,000060029,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060029.WAV,SIX ONE SIX ZERO,9,10.0,9,9,9
train,000060031,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060031.WAV,FIVE TWO FOUR SEVEN,9,10.0,9,9,9
train,000060049,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060049.WAV,ZERO THREE FIVE,8,10.0,9,9,8
train,000060056,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060056.WAV,PHONE PARTS TICKETS,10,10.0,9,9,9
train,000060077,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060077.WAV,ANN ATE A LITTLE DOG,9,10.0,9,9,9
train,000060081,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060081.WAV,DOES LAYLA LIKE THE JAM,10,10.0,10,9,9
train,000060082,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060082.WAV,KATE LIKES LAMB,9,10.0,9,9,9
train,000060083,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060083.WAV,MARK GOT SOME NOODLES,10,10.0,9,9,9
train,000060094,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060094.WAV,TOM LIKES THE OLD SWEATER,10,10.0,9,9,9
train,000060102,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060102.WAV,BOB NEEDS NEW BOOTS,10,10.0,10,9,9
train,000060106,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060106.WAV,TOM CAN SEE THE MOTOR CYCLE,10,10.0,10,9,9
train,000060111,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060111.WAV,HE LEFT THE FRUIT STAND,10,10.0,9,8,9
train,000060113,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060113.WAV,LET'S GO TO THE GYM,10,10.0,9,8,9
train,000060116,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060116.WAV,SO MARK WHEN TO THE PET SHOP,10,10.0,10,9,9
train,000060124,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060124.WAV,SO ALICE WENT ON TO VILLAGE,9,10.0,8,9,9
train,000060130,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060130.WAV,NO THAT'S TOMATO,10,10.0,9,9,9
train,000060136,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060136.WAV,I'M NOT A ACTOR,9,10.0,9,8,9
train,000060153,0006,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0006\000060153.WAV,WHAT LOVELY CLEAN TEETH,9,10.0,9,8,9
train,000260001,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260001.WAV,LAYLA LOVE BROWN,6,10.0,8,8,6
train,000260011,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260011.WAV,ANDY CAN SEE THE HEN,8,10.0,8,9,8
train,000260015,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260015.WAV,JOHN IS GOING TO SEE COW,9,10.0,9,9,9
train,000260032,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260032.WAV,ONE ONE ZERO EIGHT,8,10.0,9,9,8
train,000260033,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260033.WAV,THREE ONE SEVEN NINE,9,10.0,9,9,8
train,000260039,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260039.WAV,EIGHT ZERO SIX TWO,9,10.0,9,9,9
train,000260048,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260048.WAV,THREE ZERO EIGHT SEVEN,9,10.0,9,9,8
train,000260050,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260050.WAV,ZERO EIGHT THREE ONE,9,10.0,9,9,9
train,000260052,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260052.WAV,SIX EIGHT SIX SEVEN,10,10.0,9,9,9
train,000260069,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260069.WAV,TEDDY GIVES UP SHOOTING,7,10.0,8,8,7
train,000260075,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260075.WAV,HE LIKES RACING,9,10.0,9,8,8
train,000260091,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260091.WAV,DORA LIKES YOUR RED JEANS,8,10.0,9,8,8
train,000260095,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260095.WAV,BOB LOVES THE NEW CLOTH,8,10.0,9,9,8
train,000260096,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260096.WAV,JOHN NEEDS NEW T SHIRT,9,10.0,9,9,9
train,000260112,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260112.WAV,THEN LILLY WALKS TO MUSIC ROOM,9,10.0,9,9,9
train,000260115,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260115.WAV,THEN TIM WALKS TO THEM PARK,9,10.0,8,8,8
train,000260121,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260121.WAV,THEN MANDY WALKS TO RESTROOM,9,10.0,9,9,9
train,000260126,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260126.WAV,DO YOU WANT THE PEA,9,10.0,9,9,9
train,000260133,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260133.WAV,ANDY GOT THE MUSHROOM,10,10.0,9,9,9
train,000260166,0026,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0026\000260166.WAV,NOW FOR THE PARTY,9,10.0,9,9,9
train,000480010,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480010.WAV,IT'S NOT FISH,8,10.0,8,7,7
train,000480014,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480014.WAV,JOHN CAN SEE THE SHEEP,6,10.0,8,7,5
train,000480015,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480015.WAV,LYNDA IS GOING TO SEE ELEPHANT,8,10.0,8,7,7
train,000480016,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480016.WAV,MY CAN DRAW THE GOAT,6,10.0,8,7,6
train,000480019,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480019.WAV,TINA CAN DRAW THE BALT,7,10.0,8,7,7
train,000480023,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480023.WAV,BRO IS FROM JUMP,6,10.0,8,8,6
train,000480033,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480033.WAV,ZERO FIVE EIGHT THREE,5,10.0,7,7,5
train,000480045,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480045.WAV,FIVE NINE SIX FIVE,7,10.0,8,8,7
train,000480068,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480068.WAV,ANN LIKES HULK,7,10.0,7,8,7
train,000480081,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480081.WAV,DOES KATE LIKE THE BREAD,7,10.0,8,8,5
train,000480089,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480089.WAV,LILLY HAS A BIG LEG,7,10.0,8,7,7
train,000480090,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480090.WAV,BY THE HAND,4,10.0,7,7,4
train,000480108,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480108.WAV,LOOK AT THIS BIG JEEP,5,10.0,8,7,5
train,000480119,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480119.WAV,SO HE WHEN TO T V ROOM,7,10.0,8,8,7
train,000480125,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480125.WAV,SO BILLY WENT INTO THE PET SHOP,5,10.0,6,6,4
train,000480134,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480134.WAV,LIKES THE STRING BEAN,6,10.0,8,7,5
train,000480136,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480136.WAV,SHE WANTS DO A STUDENT,5,10.0,7,7,4
train,000480151,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480151.WAV,WHAT WILL YOU CAT,7,10.0,7,8,6
train,000480158,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480158.WAV,COME AND SEE MY DOWN,7,10.0,7,7,7
train,000480159,0048,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0048\000480159.WAV,I'M NOT AT ALL FREED,7,10.0,8,7,7
train,000530003,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530003.WAV,MIKE LIKES THE ORANGE ONE,8,10.0,9,8,8
train,000530006,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530006.WAV,ANN CAN WE HAVE THE PEACH,9,10.0,9,8,8
train,000530019,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530019.WAV,LILLY CAN DRAW THE TIGER,8,10.0,9,8,8
train,000530027,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530027.WAV,THREE THREE NINE,7,10.0,9,8,7
train,000530030,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530030.WAV,SIX FOUR FIVE SIX,9,10.0,9,9,8
train,000530037,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530037.WAV,FOUR THREE FOUR TWO,9,10.0,9,8,8
train,000530054,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530054.WAV,ONE NINE FOUR,9,10.0,9,9,8
train,000530055,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530055.WAV,BOOTS MOUNTAINS TREES,9,10.0,9,9,9
train,000530060,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530060.WAV,SIR THREE PLANTING GRAFF,7,10.0,8,7,7
train,000530063,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530063.WAV,SANDWICH GIVE HIM,6,10.0,8,7,6
train,000530076,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530076.WAV,LAYLA WANTS HAVE SOME BISCUIT,8,10.0,8,7,7
train,000530077,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530077.WAV,JIM ATE A LITTLE CAKE,7,10.0,8,7,7
train,000530094,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530094.WAV,LIYA LIKES THE OLD SAFE,8,10.0,8,7,8
train,000530109,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530109.WAV,MIKE CAN SEE THE TRAIN,8,10.0,9,8,7
train,000530112,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530112.WAV,THEN JAYME WALKS TO TOILET,7,10.0,8,8,7
train,000530115,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530115.WAV,THEN TOM WALKS TO ART ROOM,8,10.0,8,8,8
train,000530145,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530145.WAV,SHE LIKES THE BIG GREEN CITY LONDON,4,10.0,8,7,4
train,000530154,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530154.WAV,I WILL GO TO MEN,8,10.0,9,7,8
train,000530163,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530163.WAV,WHERE DID THAT COME FROM,8,10.0,8,8,7
train,000530174,0053,f,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0053\000530174.WAV,I ONLY WANT ONE,8,10.0,8,8,8
train,000540001,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540001.WAV,MIKE LOVE GARDEN,9,10.0,9,9,8
train,000540004,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540004.WAV,MARK LOVE PORTER,8,10.0,8,8,7
train,000540014,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540014.WAV,JAYME CAN SEE THE DOG,8,10.0,9,8,8
train,000540018,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540018.WAV,BILLY IS GOING TO SEE FOX,8,10.0,9,9,8
train,000540031,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540031.WAV,SIX EIGHT FOUR SIX,9,10.0,9,8,8
train,000540054,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540054.WAV,FIVE FIVE NINE ONE,9,10.0,9,8,9
train,000540055,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540055.WAV,QUICK PAST PHOTO,8,10.0,8,8,8
train,000540058,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540058.WAV,SHANGHAI QUIRE TODAY ONCE TOMORROW,8,10.0,9,8,8
train,000540062,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540062.WAV,KANGAROO COWS TRACE,6,10.0,8,8,5
train,000540072,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540072.WAV,PETER IS GOOD AT SKIN,9,10.0,8,8,8
train,000540077,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540077.WAV,BILLY AT A LITTLE JAM,8,10.0,8,7,8
train,000540088,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540088.WAV,LOOK AT BILLY'S FOOT,8,10.0,9,8,8
train,000540106,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540106.WAV,LINDA CAN SEE THE SUN BOY,7,10.0,8,7,7
train,000540111,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540111.WAV,MARY CAN SEE THE THIEF,8,10.0,8,8,8
train,000540117,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540117.WAV,KATE WAS WALKING TO PARK,8,10.0,9,8,8
train,000540123,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540123.WAV,SANDY WAS WALKING TO TURN PAR,8,10.0,8,7,7
train,000540127,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540127.WAV,PETER IS DRAWING THE PASS,8,10.0,9,8,8
train,000540130,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540130.WAV,NILA LOVES NEWS,8,10.0,9,8,8
train,000540156,0054,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0054\000540156.WAV,IT MUST BE HE,8,10.0,9,8,8
